Nº,Categoria,Entidad,Email,Telefono,Web_o_Portal,Cordoba,Prioridad,Estado,Ultimo_contacto,Notas,Proximo_paso
151,Camara,Camara Corredores Inmobiliarios Cba (CaCIC),a relevar,,fira.org.ar/cacic,Fuerte,P3,Sin contactar,,empresas inmob; relevar,Relevar email y enviar
152,Sindicato,SMATA Cordoba (mecanicos automotriz),info@smatacba.com.ar,0351-422-9550,smatacba.com.ar,Fuerte,P1,Sin contactar,,OS propia OSMATA; gran caudal (IVECO/Renault/VW/FIAT/Nissan); OS osmatacba@yahoo.com.ar (confirmar),Enviar (borrador Camino 2)
153,Sindicato,Asociacion Bancaria Seccional Cordoba,ofadministracion@bancariacba.com,0351-426-3554,bancariacba.com,Fuerte,P1,Sin contactar,,OS propia OSBA,Enviar (borrador Camino 2)
154,Sindicato,UOCRA Seccional Cordoba (construccion),sinx560@uocra.org,0351-422-3854,uocra.org,Fuerte,P1,Sin contactar,,OS propia OSPeCon; email verificado,Enviar (borrador Camino 2)
155,Sindicato,ATSA Cordoba (Sanidad FATSA),info@sanidadatsacba.com.ar,0351-423-3882,sanidadatsacba.com.ar,Fuerte,P2,Sin contactar,,OS propia OSPSA + servicios; alto volumen,Enviar (borrador Camino 2)
156,Sindicato,CISPREN (prensa),info@cispren.org.ar,0351-424-3517,cispren.org.ar,Fuerte,P2,Sin contactar,,OS propia Prensalud; receptivos a convenios,Enviar (borrador Camino 2)
157,Sindicato,STIA Cordoba (alimentacion),info@alimentacioncba.org.ar,0351-425-3636,alimentacioncba.org.ar,Fuerte,P2,Sin contactar,,OS propia alimentacion; email verificado,Enviar (borrador Camino 2)
158,Sindicato,ASTF (empleados de farmacia) Cba,a relevar,0351-422-0650,astf.org.ar,Fuerte,P3,Sin contactar,,OS propia farmacia; relevar email por tel,Relevar email y enviar
159,Sindicato,Sindicato del Seguro Seccional Cordoba,a relevar,0351-363-4063,sindicatodelseguro.com.ar,Fuerte,P3,Sin contactar,,OS OSSEG (ya en base); alt consultas@ssra.org.ar,Relevar email y enviar
160,Sindicato,AVVA Cordoba (viajantes vendedores),avva-cordoba@viajantesvendedores.org.ar,0351-431-7500,avva.org.ar,Fuerte,P2,Sin contactar,,servicios sociales propios,Enviar (borrador Camino 2)
161,Sindicato,SETIA Cordoba (entidades civiles/deportivas),cordoba@setia.org.ar,0351-431-5857,setia.org.ar,Fuerte,P2,Sin contactar,,OS propia,Enviar (borrador Camino 2)
162,Sindicato,Union Obreros Madera Cordoba,obrasocialmadera@yahoo.com.ar,0351-421-3086,usimra.com.ar,Fuerte,P3,Sin contactar,,OS propia OSPIM (ya en base como OS),Enviar (borrador Camino 2)
163,Sindicato,SOELSAC (limpieza y servicios) Cba,a relevar,0800-348-0023,ossoelsac.com.ar,Fuerte,P2,Sin contactar,,OS PROPIA local OSSOELSAC; ideal convenio directo; relevar email,Relevar email y enviar
164,Sindicato,SURRBAC (recoleccion residuos) Cba,surrbacinstitucional@gmail.com,0351-756-2316,ossurrbac.com,Fuerte,P2,Sin contactar,,OS PROPIA local OSSURRBAC,Enviar (borrador Camino 2)
165,Sindicato,SOETC (telefonicos FOEESITRA) Cba,a relevar,,soetc.ar,Fuerte,P3,Sin contactar,,OS telefonica; relevar,Relevar email y enviar
166,Sindicato,UEJN Seccional Cordoba (judiciales nac.),a relevar,,uejn.org.ar,Fuerte,P3,Sin contactar,,OS OSPJN; relevar,Relevar email y enviar
167,Sindicato,Union Ferroviaria Seccionales Cordoba,a relevar,,unionferroviaria.org.ar,Fuerte,P3,Sin contactar,,OS OSFE (ya en base) + Mutual UF; relevar,Relevar email y enviar
168,Sindicato,SiReLyF (luz y fuerza regional interior),a relevar,,sirelyf.org,Fuerte,P3,Sin contactar,,distinto de Luz y Fuerza Cba; coop electricas + CN Embalse,Relevar email y enviar
169,Sindicato,APUAYE Seccional Centro (agua y energia),apuayecentro@apuaye.org.ar,03571-470567,apuaye.org.ar,Fuerte,P3,Sin contactar,,profesionales; servicios/OS propios,Enviar (borrador Camino 2)
170,Sindicato,Sindicato Peones de Taxi Cordoba,a relevar,,ospetax.org.ar,Fuerte,P3,Sin contactar,,OS propia OSPETax; relevar,Relevar email y enviar
171,Mutual,Circulo Suboficiales y Agentes Policia Cba,a relevar,0351-421-0285,circulopoliciacba.org.ar,Fuerte,P2,Sin contactar,,mutual + centro odontologico propio; salud; relevar email,Relevar email y enviar
172,Mutual,Asoc. Mutual Empleados Policia Pcia Cba,a relevar,0351-424-1100,mutualdepolicia.ar,Fuerte,P3,Sin contactar,,mutual policial; relevar,Relevar email y enviar
173,Mutual,AMEBPC (mutual empleados Banco Pcia Cba),a relevar,,mutualbpc.com.ar,Fuerte,P2,Sin contactar,,mutual grande (Bancor); relevar,Relevar email y enviar
174,Sindicato,FESTRAM (fed. municipales interior Cba),a relevar,0351-444-4462,festramcordoba.com.ar,Fuerte,P2,Sin contactar,,federa sindicatos municipales del interior c/ OS propias; buen canal multiplicador; relevar,Relevar email y enviar
